# time mean_CV Std_CV
5.8625e-01 1.2499e+00 2.0771e-02
5.8750e-01 1.2501e+00 1.7761e-02
5.8875e-01 1.2500e+00 1.7043e-02
5.9000e-01 1.2477e+00 1.6380e-02
5.9125e-01 1.2507e+00 1.8469e-02
5.9250e-01 1.2495e+00 1.5387e-02
5.9375e-01 1.2491e+00 1.5721e-02
5.9500e-01 1.2456e+00 1.3104e-02
5.9625e-01 1.2444e+00 1.4294e-02
5.9750e-01 1.2447e+00 1.5069e-02
5.9875e-01 1.2472e+00 1.3112e-02
6.0000e-01 1.2455e+00 1.4832e-02
6.0125e-01 1.2435e+00 1.3182e-02
6.0250e-01 1.2408e+00 1.6902e-02
6.0375e-01 1.2389e+00 1.4672e-02
6.0500e-01 1.2382e+00 1.2410e-02
6.0625e-01 1.2391e+00 1.1501e-02
6.0750e-01 1.2364e+00 1.2126e-02
6.0875e-01 1.2400e+00 1.2446e-02
6.1000e-01 1.2384e+00 1.3038e-02
6.1125e-01 1.2392e+00 1.2182e-02
6.1250e-01 1.2371e+00 8.9145e-03
6.1375e-01 1.2369e+00 1.0778e-02
6.1500e-01 1.2380e+00 1.1666e-02
6.1625e-01 1.2388e+00 1.2750e-02
6.1750e-01 1.2373e+00 1.3289e-02
6.1875e-01 1.2364e+00 1.2586e-02
6.2000e-01 1.2344e+00 1.3834e-02
6.2125e-01 1.2344e+00 1.0440e-02
6.2250e-01 1.2327e+00 1.2792e-02
6.2375e-01 1.2350e+00 1.1332e-02
6.2500e-01 1.2360e+00 9.3593e-03
6.2625e-01 1.2332e+00 8.7127e-03
6.2750e-01 1.2322e+00 9.0501e-03
6.2875e-01 1.2361e+00 1.1688e-02
6.3000e-01 1.2358e+00 1.2109e-02
6.3125e-01 1.2349e+00 1.1727e-02
6.3250e-01 1.2359e+00 1.3080e-02
6.3375e-01 1.2347e+00 1.3564e-02
6.3500e-01 1.2360e+00 1.0931e-02
6.3625e-01 1.2349e+00 1.0865e-02
6.3750e-01 1.2331e+00 8.8442e-03
6.3875e-01 1.2296e+00 8.8880e-03
6.4000e-01 1.2286e+00 9.5337e-03
6.4125e-01 1.2271e+00 8.2115e-03
6.4250e-01 1.2242e+00 9.6429e-03
6.4375e-01 1.2234e+00 1.0382e-02
6.4500e-01 1.2252e+00 7.7431e-03
6.4625e-01 1.2218e+00 7.2167e-03
6.4750e-01 1.2222e+00 6.3830e-03
6.4875e-01 1.2224e+00 6.7630e-03
6.5000e-01 1.2211e+00 7.1229e-03
6.5125e-01 1.2254e+00 7.1969e-03
6.5250e-01 1.2232e+00 7.2424e-03
6.5375e-01 1.2236e+00 7.9142e-03
6.5500e-01 1.2210e+00 7.4216e-03
6.5625e-01 1.2182e+00 8.8714e-03
6.5750e-01 1.2173e+00 8.0918e-03
6.5875e-01 1.2198e+00 8.7685e-03
6.6000e-01 1.2177e+00 9.6753e-03
6.6125e-01 1.2195e+00 1.1039e-02
6.6250e-01 1.2206e+00 8.4536e-03
6.6375e-01 1.2229e+00 8.7065e-03
6.6500e-01 1.2217e+00 9.8526e-03
6.6625e-01 1.2229e+00 1.2787e-02
6.6750e-01 1.2246e+00 1.2257e-02
6.6875e-01 1.2200e+00 1.4903e-02
6.7000e-01 1.2208e+00 1.1098e-02
6.7125e-01 1.2182e+00 1.1100e-02
6.7250e-01 1.2159e+00 1.1786e-02
6.7375e-01 1.2180e+00 1.2698e-02
6.7500e-01 1.2182e+00 1.4851e-02
6.7625e-01 1.2152e+00 1.5036e-02
6.7750e-01 1.2134e+00 1.9904e-02
6.7875e-01 1.2117e+00 2.0061e-02
6.8000e-01 1.2116e+00 1.7433e-02
6.8125e-01 1.2135e+00 1.7583e-02
6.8250e-01 1.2140e+00 1.7635e-02
6.8375e-01 1.2141e+00 1.7994e-02
6.8500e-01 1.2145e+00 1.8775e-02
6.8625e-01 1.2146e+00 1.9142e-02
6.8750e-01 1.2099e+00 1.7430e-02
6.8875e-01 1.2149e+00 1.7242e-02
6.9000e-01 1.2148e+00 1.7639e-02
6.9125e-01 1.2127e+00 1.2640e-02
6.9250e-01 1.2099e+00 1.3475e-02
6.9375e-01 1.2133e+00 1.6168e-02
6.9500e-01 1.2153e+00 1.5088e-02
6.9625e-01 1.2158e+00 1.5268e-02
6.9750e-01 1.2117e+00 1.6399e-02
6.9875e-01 1.2108e+00 1.6846e-02
7.0000e-01 1.2111e+00 1.5165e-02
7.0125e-01 1.2125e+00 1.9230e-02
7.0250e-01 1.2130e+00 1.8511e-02
7.0375e-01 1.2093e+00 1.7276e-02
7.0500e-01 1.2078e+00 1.5677e-02
7.0625e-01 1.2105e+00 1.6919e-02
7.0750e-01 1.2081e+00 1.4754e-02
7.0875e-01 1.2073e+00 1.2591e-02
7.1000e-01 1.2062e+00 8.7511e-03
7.1125e-01 1.2056e+00 9.9940e-03
7.1250e-01 1.2068e+00 1.2072e-02
7.1375e-01 1.2073e+00 1.0986e-02
7.1500e-01 1.2039e+00 9.5573e-03
7.1625e-01 1.2048e+00 1.0455e-02
7.1750e-01 1.2043e+00 1.2675e-02
7.1875e-01 1.2056e+00 1.2924e-02
7.2000e-01 1.2064e+00 1.3967e-02
7.2125e-01 1.2056e+00 1.6475e-02
7.2250e-01 1.2032e+00 1.6824e-02
7.2375e-01 1.2024e+00 1.6881e-02
