# time mean_CV Std_CV
6.6000e-01 1.0098e+02 2.5910e+00
6.6125e-01 1.0080e+02 2.4017e+00
6.6250e-01 1.0063e+02 2.5282e+00
6.6375e-01 1.0051e+02 2.8508e+00
6.6500e-01 1.0063e+02 2.4627e+00
6.6625e-01 1.0072e+02 2.5432e+00
6.6750e-01 1.0082e+02 2.5313e+00
6.6875e-01 1.0094e+02 2.5805e+00
6.7000e-01 1.0087e+02 2.6425e+00
6.7125e-01 1.0070e+02 2.9282e+00
6.7250e-01 1.0064e+02 2.8664e+00
6.7375e-01 1.0042e+02 2.8402e+00
6.7500e-01 1.0065e+02 2.5935e+00
6.7625e-01 1.0070e+02 3.0087e+00
6.7750e-01 1.0081e+02 3.0441e+00
6.7875e-01 1.0067e+02 2.8523e+00
6.8000e-01 1.0071e+02 3.1385e+00
6.8125e-01 1.0051e+02 3.0458e+00
6.8250e-01 1.0071e+02 2.9664e+00
6.8375e-01 1.0056e+02 2.8361e+00
6.8500e-01 1.0055e+02 2.8517e+00
6.8625e-01 1.0058e+02 2.6880e+00
6.8750e-01 1.0047e+02 2.5978e+00
6.8875e-01 1.0047e+02 2.6581e+00
6.9000e-01 1.0030e+02 2.5556e+00
6.9125e-01 1.0027e+02 2.2180e+00
6.9250e-01 1.0018e+02 2.3159e+00
6.9375e-01 1.0000e+02 2.3360e+00
6.9500e-01 9.9893e+01 2.4219e+00
6.9625e-01 9.9695e+01 2.4532e+00
6.9750e-01 9.9850e+01 2.5187e+00
6.9875e-01 9.9585e+01 2.4933e+00
7.0000e-01 9.9542e+01 2.6663e+00
7.0125e-01 9.9832e+01 2.3670e+00
7.0250e-01 9.9846e+01 2.5872e+00
7.0375e-01 9.9881e+01 2.4784e+00
7.0500e-01 9.9940e+01 2.3185e+00
7.0625e-01 1.0007e+02 2.4774e+00
7.0750e-01 1.0023e+02 2.1266e+00
7.0875e-01 1.0010e+02 1.7749e+00
7.1000e-01 9.9816e+01 1.8967e+00
7.1125e-01 9.9797e+01 1.6264e+00
7.1250e-01 9.9964e+01 1.7684e+00
7.1375e-01 9.9828e+01 1.6220e+00
7.1500e-01 9.9879e+01 1.9434e+00
7.1625e-01 9.9964e+01 1.9400e+00
7.1750e-01 9.9911e+01 1.9388e+00
7.1875e-01 1.0008e+02 1.7235e+00
7.2000e-01 1.0048e+02 1.7958e+00
7.2125e-01 1.0022e+02 1.5874e+00
7.2250e-01 1.0023e+02 1.4646e+00
7.2375e-01 1.0011e+02 1.3228e+00
